,value,most_common_language,ratios
0,6,fr,"lang
fr             0.761974
nl             0.084434
qme            0.081544
en             0.042264
zxx            0.005123
und            0.004542
es             0.004410
pt             0.002196
ht             0.001614
it             0.001464
ca             0.001332
in             0.001239
de             0.000920
da             0.000713
et             0.000676
qam            0.000638
tl             0.000638
zh             0.000488
tr             0.000469
ro             0.000375
sv             0.000357
ja             0.000319
lt             0.000282
no             0.000263
ar             0.000244
fi             0.000206
pl             0.000188
art            0.000169
cs             0.000131
cy             0.000131
vi             0.000113
eu             0.000113
iw             0.000075
sl             0.000075
hi             0.000075
lv             0.000075
qht            0.000038
hu             0.000038
is             0.000019
art-x-emoji    0.000019
el             0.000019
Name: count, dtype: float64"
1,25,fr,"lang
fr     0.852571
qme    0.088085
en     0.025812
und    0.008791
es     0.005045
qam    0.002523
it     0.002446
nl     0.002319
zxx    0.001962
pt     0.001758
ca     0.001631
ht     0.001274
in     0.000943
de     0.000688
et     0.000459
eu     0.000408
pl     0.000357
ro     0.000306
tr     0.000280
sv     0.000280
cy     0.000229
tl     0.000229
da     0.000204
lv     0.000178
ru     0.000153
art    0.000127
lt     0.000127
cs     0.000127
no     0.000127
hu     0.000127
ja     0.000102
vi     0.000051
uk     0.000051
qht    0.000051
sl     0.000051
is     0.000051
fi     0.000025
hi     0.000025
iw     0.000025
Name: count, dtype: float64"
2,4,nl,"lang
nl             0.785599
en             0.088491
qme            0.075636
fr             0.014993
und            0.005843
de             0.004674
fa             0.004326
es             0.002511
ca             0.001989
da             0.001591
in             0.001492
no             0.001218
et             0.001144
qam            0.001119
lt             0.001019
zxx            0.000895
tl             0.000845
sv             0.000771
vi             0.000721
pt             0.000671
tr             0.000597
ro             0.000547
ht             0.000497
it             0.000423
eu             0.000398
pl             0.000274
cy             0.000199
cs             0.000174
fi             0.000149
art            0.000149
hu             0.000149
lv             0.000149
is             0.000149
hi             0.000124
ar             0.000124
qst            0.000124
iw             0.000075
sl             0.000050
ru             0.000025
art-x-emoji    0.000025
el             0.000025
zh             0.000025
Name: count, dtype: float64"
3,18,nl,"lang
nl             0.882621
qme            0.064600
en             0.021352
fr             0.006325
und            0.005667
de             0.003320
zxx            0.003234
es             0.001832
da             0.001460
in             0.001202
et             0.001030
no             0.000859
ht             0.000658
sv             0.000630
art            0.000572
pt             0.000544
lt             0.000458
tl             0.000401
ca             0.000401
it             0.000343
tr             0.000286
qam            0.000286
cy             0.000258
ro             0.000229
fi             0.000200
zh             0.000200
eu             0.000172
hi             0.000172
is             0.000143
pl             0.000114
lv             0.000114
cs             0.000114
sl             0.000086
qst            0.000029
hu             0.000029
art-x-emoji    0.000029
ja             0.000029
Name: count, dtype: float64"
4,9,nl,"lang
nl             0.850790
qme            0.065914
en             0.038904
fr             0.017980
und            0.006046
de             0.003501
es             0.002029
et             0.001631
da             0.001193
no             0.001114
zxx            0.000915
in             0.000835
it             0.000796
ht             0.000676
tl             0.000636
pt             0.000636
ja             0.000636
hu             0.000597
sv             0.000597
ca             0.000557
fa             0.000477
pl             0.000438
lt             0.000358
tr             0.000358
qam            0.000318
ro             0.000278
eu             0.000278
art            0.000239
fi             0.000239
cy             0.000199
lv             0.000159
cs             0.000159
hi             0.000119
is             0.000119
ar             0.000080
vi             0.000080
zh             0.000040
ru             0.000040
art-x-emoji    0.000040
Name: count, dtype: float64"
5,1,en,"lang
en       0.653051
ja       0.066802
vi       0.060656
ar       0.059211
qme      0.058198
und      0.026099
pt       0.022050
in       0.009037
tr       0.005856
es       0.005567
zh       0.004555
qam      0.004338
tl       0.003543
fr       0.002675
it       0.002241
th       0.001880
ht       0.001880
et       0.001735
pl       0.001012
de       0.001012
ru       0.001012
nl       0.000940
ur       0.000868
cy       0.000795
ca       0.000723
eu       0.000723
hi       0.000506
zxx      0.000506
sv       0.000361
da       0.000361
no       0.000361
fi       0.000289
id       0.000145
ro       0.000145
lt       0.000145
is       0.000145
sl       0.000072
lv       0.000072
fa       0.000072
iw       0.000072
hu       0.000072
uk       0.000072
zh-CN    0.000072
qst      0.000072
Name: count, dtype: float64"
6,8,nl,"lang
nl     0.755774
fr     0.113084
qme    0.064706
en     0.042731
und    0.004070
de     0.002849
zxx    0.001831
es     0.001730
in     0.001730
et     0.001628
da     0.001424
pt     0.001170
ht     0.001119
no     0.000865
ca     0.000865
tl     0.000560
qam    0.000458
sv     0.000407
it     0.000407
ro     0.000305
cs     0.000254
lt     0.000254
tr     0.000254
eu     0.000203
pl     0.000203
fa     0.000203
ru     0.000153
hu     0.000102
art    0.000102
qst    0.000102
lv     0.000102
sl     0.000051
zh     0.000051
cy     0.000051
is     0.000051
fi     0.000051
vi     0.000051
hi     0.000051
Name: count, dtype: float64"
7,5,nl,"lang
nl     0.804040
qme    0.071263
en     0.050364
fr     0.049071
und    0.004525
de     0.003932
es     0.002208
et     0.001562
da     0.001508
in     0.001400
zxx    0.001131
no     0.001077
ht     0.001023
tr     0.000646
sv     0.000593
tl     0.000593
pl     0.000539
qam    0.000539
it     0.000539
ca     0.000431
pt     0.000377
hu     0.000377
lt     0.000377
lv     0.000323
fi     0.000269
eu     0.000269
ro     0.000215
cy     0.000162
qht    0.000108
cs     0.000108
is     0.000108
iw     0.000108
art    0.000054
hi     0.000054
sl     0.000054
qst    0.000054
Name: count, dtype: float64"
8,20,nl,"lang
nl     0.863949
qme    0.061962
en     0.037083
fr     0.012518
de     0.004381
und    0.003521
es     0.002738
da     0.001956
in     0.001721
zxx    0.001408
ht     0.001174
no     0.001174
et     0.000861
tl     0.000861
ca     0.000704
it     0.000391
fi     0.000313
qam    0.000313
pt     0.000313
lt     0.000313
art    0.000313
tr     0.000313
sv     0.000235
lv     0.000235
pl     0.000235
cs     0.000156
ru     0.000156
hu     0.000156
sl     0.000156
eu     0.000078
vi     0.000078
ar     0.000078
ro     0.000078
hi     0.000078
Name: count, dtype: float64"
9,2,en,"lang
en     0.622979
qme    0.135041
fr     0.106814
nl     0.078090
es     0.010943
und    0.007958
iw     0.004850
de     0.004476
qam    0.003357
in     0.003357
zxx    0.002860
it     0.002736
pt     0.002487
ar     0.001865
et     0.001617
tr     0.001492
tl     0.001368
ca     0.000870
da     0.000870
ht     0.000622
zh     0.000622
sv     0.000497
ro     0.000497
ru     0.000497
cy     0.000497
lt     0.000373
no     0.000373
uk     0.000249
pl     0.000249
cs     0.000249
eu     0.000249
hi     0.000124
ja     0.000124
qht    0.000124
lv     0.000124
hu     0.000124
ur     0.000124
is     0.000124
fi     0.000124
Name: count, dtype: float64"
